Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",LR,Light Rail,DO,81,"27,326,353",,"37,616,438",,"15,160,560",,"17,376,983",,0,,"97,480,334",,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",CB,Commuter Bus,DO,66,"6,448,106",,"2,599,755",,"493,347",,"2,519,236",,0,,"12,060,444",,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",DR,Demand Response,DO,52,"9,122,926",,"1,742,295",,"738,574",,"5,098,328",,0,,"16,702,123",,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",CR,Commuter Rail,DO,45,"19,750,383",,"16,211,193",,"14,841,254",,"13,600,885",,0,,"64,403,715",,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",MB,Bus,PT,7,"1,015,118",,"145,160",,"111,449",,"879,130",,0,,"2,150,857",,0,
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,50182,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","1,015",DR,Demand Response,PT,701,"104,022,171",,"27,404,511",,"2,894,968",,"18,959,002",,0,,"153,280,652",,0,
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,50182,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","1,015",DR,Demand Response,TX,292,"11,583,646",,"3,310,164",,"350,083",,"2,440,050",,0,,"17,683,943",,0,
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,50182,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","1,015",DR,Demand Response,TN,22,"24,329",,"6,940",,738,,"6,493",,0,,"38,500",,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","1,012",MB,Bus,DO,478,"117,752,896",,"37,153,216",,"8,162,675",,"43,844,785",,0,,"206,913,572",,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","1,012",VP,Vanpool,DO,267,"704,639",,"501,690",,"11,040",,"2,556,294",,0,,"3,773,663",,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","1,012",DR,Demand Response,PT,202,"15,218,303",,"4,141,733",,"627,541",,"4,770,913",,0,,"24,758,490",,0,
Ark-Tex Council of Governments,Texarkana,TX,60145,"MPO, COG or Other Planning Agency",Rural Reporter,2022,,,,56,MB,Bus,DO,6,0,,0,,0,,0,,"932,043",,"932,043",,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","1,012",DR,Demand Response,TX,30,"1,218,508",,"361,139",,"52,995",,"319,983",,0,,"1,952,625",,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","1,012",MB,Bus,PT,26,"5,174,493",,"1,457,564",,"325,022",,"1,747,100",,0,,"8,704,179",,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","1,012",DR,Demand Response,DO,8,"966,185",,"201,488",,"45,463",,"138,235",,0,,"1,351,371",,0,
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","1,012",DR,Demand Response,TN,1,426,,125,,18,,99,,0,,668,,0,
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23527,"Denver--Aurora, CO","2,686,147",931,MB,Bus,DO,286,"126,693,501",,"50,092,494",,"27,449,524",,"67,723,402",,0,,"271,958,921",,0,
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23527,"Denver--Aurora, CO","2,686,147",931,DR,Demand Response,PT,277,"38,250,755",,"2,983,567",,"428,424",,"7,602,494",,0,,"49,265,240",,0,
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23527,"Denver--Aurora, CO","2,686,147",931,MB,Bus,PT,213,"59,240,630",,"19,160,584",,"2,031,098",,"15,639,332",,0,,"96,071,644",,0,
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23527,"Denver--Aurora, CO","2,686,147",931,LR,Light Rail,DO,111,"43,936,242",,"21,076,059",,"29,006,890",,"50,205,262",,0,,"144,224,453",,0,
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23527,"Denver--Aurora, CO","2,686,147",931,CR,Commuter Rail,PT,36,"20,415,049",,"12,688,616",,"17,212,656",,"24,532,870",,0,,"74,849,191",,0,
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23527,"Denver--Aurora, CO","2,686,147",931,CR,Commuter Rail,DO,8,"7,566,089",,"1,549,501",,"8,463,276",,"10,532,687",,0,,"28,111,553",,0,
MTA Long Island Rail Road,Jamaica,NY,20100,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",908,CR,Commuter Rail,DO,908,"565,846,835",,"519,334,942",,"333,687,297",,"183,078,185",,0,,"1,601,947,259",,0,
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,50118,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746",889,CR,Commuter Rail,PT,456,"140,045,332",,"91,755,876",,"66,299,200",,"31,022,698",,0,,"329,123,106",,0,
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,50118,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746",889,CR,Commuter Rail,DO,433,"167,312,197",,"97,246,408",,"104,997,443",,"123,868,746",,0,,"493,424,794",,0,
VIA Metropolitan Transit,San Antonio,TX,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78580,"San Antonio, TX","1,992,689",873,MB,Bus,DO,498,"97,512,615",,"34,064,484",,"16,729,207",,"35,065,590",,0,,"183,371,896",,0,
VIA Metropolitan Transit,San Antonio,TX,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78580,"San Antonio, TX","1,992,689",873,DR,Demand Response,PT,128,"11,088,338",,"1,602,228",,"281,883",,"5,705,852",,0,,"18,678,301",,0,
VIA Metropolitan Transit,San Antonio,TX,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78580,"San Antonio, TX","1,992,689",873,VP,Vanpool,PT,127,"792,307",,"47,686",,"3,147",,"455,225",,0,,"1,298,365",,0,
VIA Metropolitan Transit,San Antonio,TX,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78580,"San Antonio, TX","1,992,689",873,DR,Demand Response,DO,95,"14,012,851",,"1,804,756",,"504,698",,"4,144,537",,0,,"20,466,842",,0,
VIA Metropolitan Transit,San Antonio,TX,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78580,"San Antonio, TX","1,992,689",873,DR,Demand Response,TX,25,"140,392",,"40,650",,"3,181",,"52,615",,0,,"236,838",,0,
VIA Metropolitan Transit,San Antonio,TX,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78580,"San Antonio, TX","1,992,689",873,RB,Bus Rapid Transit,DO,0,0,,0,,0,,0,,0,,0,,0,
Port Authority of Allegheny County,Pittsburgh,PA,30022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69697,"Pittsburgh, PA","1,745,039",823,MB,Bus,DO,561,"178,051,834",,"87,685,053",,"20,938,391",,"56,573,430",,0,,"343,248,708",,0,
Port Authority of Allegheny County,Pittsburgh,PA,30022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69697,"Pittsburgh, PA","1,745,039",823,DR,Demand Response,PT,208,"26,379,504",,"5,132,131",,"1,109,187",,"2,627,865",,0,,"35,248,687",,0,
Port Authority of Allegheny County,Pittsburgh,PA,30022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69697,"Pittsburgh, PA","1,745,039",823,LR,Light Rail,DO,52,"20,766,464",,"21,263,006",,"24,639,422",,"6,934,527",,0,,"73,603,419",,0,
Port Authority of Allegheny County,Pittsburgh,PA,30022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69697,"Pittsburgh, PA","1,745,039",823,IP,Inclined Plane,DO,2,"530,132",,"5,220",,"899,357",,"47,863",,0,,"1,482,572",,0,
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,40022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,3817,"Atlanta, GA","5,100,112",812,MB,Bus,DO,407,"134,865,924",,"49,354,893",,"10,948,339",,"50,846,531",,0,,"246,015,687",,0,
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,40022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,3817,"Atlanta, GA","5,100,112",812,HR,Heavy Rail,DO,210,"75,832,648",,"40,637,147",,"54,995,119",,"51,886,278",,0,,"223,351,192",,0,
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,40022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,3817,"Atlanta, GA","5,100,112",812,DR,Demand Response,PT,193,"23,041,033",,"7,615,530",,"1,779,018",,"13,762,123",,0,,"46,197,704",,0,
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,40022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,3817,"Atlanta, GA","5,100,112",812,SR,Streetcar Rail,DO,2,"1,865,029",,"1,957,742",,"644,347",,"499,447",,0,,"4,966,565",,0,
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,40022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,3817,"Atlanta, GA","5,100,112",812,RB,Bus Rapid Transit,DO,0,0,,0,,0,,0,,0,,0,,0,
Dallas Area Rapid Transit,Dallas,TX,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",800,MB,Bus,DO,453,"165,152,884",,"55,023,959",,"15,008,208",,"52,165,006",,0,,"287,350,057",,0,
Dallas Area Rapid Transit,Dallas,TX,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",800,DR,Demand Response,PT,198,"34,625,499",,"1,815,590",,"223,955",,"7,077,600",,0,,"43,742,644",,0,
Dallas Area Rapid Transit,Dallas,TX,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",800,LR,Light Rail,DO,89,"75,593,104",,"47,131,386",,"40,460,249",,"35,700,756",,0,,"198,885,495",,0,
Dallas Area Rapid Transit,Dallas,TX,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",800,DR,Demand Response,TX,25,"557,241",,"29,268",,"3,888",,"115,157",,0,,"705,554",,0,
Dallas Area Rapid Transit,Dallas,TX,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",800,CR,Commuter Rail,PT,23,"14,762,167",,"7,254,275",,"12,052,878",,"8,016,142",,0,,"42,085,462",,0,
Dallas Area Rapid Transit,Dallas,TX,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",800,VP,Vanpool,PT,10,"115,680",,743,,"3,982",,"22,569",,0,,"142,974",,0,
Dallas Area Rapid Transit,Dallas,TX,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",800,SR,Streetcar Rail,DO,2,"2,847,199",,"49,262",,"303,947",,"165,389",,0,,"3,365,797",,0,
"California Vanpool Authority, dba: CalVans",Hanford,CA,90230,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,36703,"Hanford, CA","66,638",758,VP,Vanpool,DO,758,"7,445,937",,"1,724,518",,"95,370",,"4,292,335",,0,,"13,558,160",,0,
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71317,"Portland, OR--WA","2,104,238",753,MB,Bus,DO,498,"180,418,668",,"45,704,762",,"14,272,430",,"63,727,016",,0,,"304,122,876",,0,
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71317,"Portland, OR--WA","2,104,238",753,DR,Demand Response,PT,138,"22,196,720",,"1,977,052",,"262,473",,"6,800,595",,0,,"31,236,840",,0,
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71317,"Portland, OR--WA","2,104,238",753,LR,Light Rail,DO,94,"55,399,454",,"39,667,374",,"29,293,319",,"35,103,793",,0,,"159,463,940",,0,
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71317,"Portland, OR--WA","2,104,238",753,DR,Demand Response,TX,19,"1,190,411",,"317,321",,"89,467",,"709,781",,0,,"2,306,980",,0,
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71317,"Portland, OR--WA","2,104,238",753,YR,Hybrid Rail,PT,4,"2,583,026",,"2,396,622",,"1,661,469",,"2,244,257",,0,,"8,885,374",,0,
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71317,"Portland, OR--WA","2,104,238",753,SR,Streetcar Rail,PT,0,0,,0,,0,,0,,0,,0,,"11,400,544",
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",San Francisco,CA,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,78904,"San Francisco--Oakland, CA","3,515,933",752,MB,Bus,DO,349,"231,942,350",,"87,733,151",,"16,843,597",,"75,725,411",,0,,"412,244,509",,0,
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",San Francisco,CA,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,78904,"San Francisco--Oakland, CA","3,515,933",752,TB,Trolleybus,DO,158,"98,605,784",,"30,091,260",,"15,917,088",,"37,472,236",,0,,"182,086,368",,0,
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",San Francisco,CA,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,78904,"San Francisco--Oakland, CA","3,515,933",752,LR,Light Rail,DO,115,"84,096,951",,"52,308,605",,"30,332,198",,"35,230,457",,0,,"201,968,211",,0,
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",San Francisco,CA,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,78904,"San Francisco--Oakland, CA","3,515,933",752,DR,Demand Response,PT,94,"13,046,905",,"1,476,049",,"327,750",,"5,924,011",,0,,"20,774,715",,0,
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",San Francisco,CA,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,78904,"San Francisco--Oakland, CA","3,515,933",752,CC,Cable Car,DO,24,"32,893,829",,"13,536,681",,"10,190,862",,"17,572,023",,0,,"74,193,395",,0,
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",San Francisco,CA,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,78904,"San Francisco--Oakland, CA","3,515,933",752,SR,Streetcar Rail,DO,12,"9,511,226",,"12,900,307",,"1,870,825",,"5,727,779",,0,,"30,010,137",,0,
"OATS, Inc.",Columbia,MO,70133,Private-Non-Profit Corporation,Rural Reporter,2022,77770,"St. Louis, MO-IL","2,150,706",743,DR,Demand Response,DO,743,0,,0,,0,,0,,"29,543,341",,"29,543,341",,0,
Orange County Transportation Authority,Orange,CA,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",739,MB,Bus,DO,214,"89,484,879",,"28,523,769",,"4,246,777",,"32,265,347",,0,,"154,520,772",,0,
Orange County Transportation Authority,Orange,CA,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",739,DR,Demand Response,PT,175,"22,216,220",,"5,287,780",,"2,923,577",,"24,995,533",,0,,"55,423,110",,0,
Orange County Transportation Authority,Orange,CA,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",739,MB,Bus,PT,151,"38,104,175",,"7,582,980",,"5,659,019",,"22,614,406",,0,,"73,960,580",,0,
Orange County Transportation Authority,Orange,CA,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",739,VP,Vanpool,PT,113,"612,870",,"84,707",,"30,874",,"1,044,222",,0,,"1,772,673",,0,
Orange County Transportation Authority,Orange,CA,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",739,DR,Demand Response,TX,86,"5,041,262",,"979,463",,"234,251",,"3,323,718",,0,,"9,578,694",,0,
Orange County Transportation Authority,Orange,CA,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",739,SR,Streetcar Rail,PT,0,0,,0,,0,,0,,0,,0,,0,
